SAMPLE_NAME;ROCK1;SIO2_pct;TIO2_pct;AL2O3_pct;FEOT_pct;CAO_pct;MGO_pct;MNO_pct;K2O_pct;NA2O_pct;P2O5_pct
S01110;DACITE;64.52;0.99;14.25;7.48;5.04;2.07;0.11;0.85;4.32;0.38
S01111;ANDESITE;58.41;1.55;15.28;9.89;3.94;4.87;0.13;0.56;5.06;0.31
S01112;RHYOLITE;77.71;0.21;11.38;2.75;0.37;0.68;0.05;1.51;5.29;0.04
S01113;ANDESITE;58.55;1.5;14.71;10.68;4.92;5.77;0.22;0.3;2.77;0.57
S01114;RHYOLITE;80.07;0.18;10.22;2.21;0.76;0.59;0.04;1.01;4.89;0.01
S01115;ANDESITE;54.34;1.65;15.39;11.25;5.45;6.21;0.3;0.47;4.31;0.62
S01116;DACITE;62.3;0.9;14.98;8.25;5.37;4.38;0.2;0.89;2.57;0.16
S01117;RHYOLITE;86.59;0.19;7.86;1.57;0.67;0.32;0.03;2.13;0.61;0.02
S01118;ANDESITE;54.89;1.37;16.94;8.33;5.44;5.64;0.15;1.61;5.3;0.22
S01119;RHYOLITE;83.19;0.15;7.49;4.71;0.65;1.29;0.31;1.78;0.43;0.02
S01120;ANDESITE;54.42;1.38;17.26;11;9.11;3.71;0.17;1.91;1.06;
S01121;DACITE;65.03;0.87;15.21;6.54;3.22;1.65;0.15;0.49;6.57;0.27
S01122;RHYOLITE;73.26;0.29;11.95;4.83;3.6;0.77;0.12;0.94;4.15;0.07
S01123;RHYOLITE;75.02;0.27;11.19;3.99;3.19;0.59;0.15;1.03;4.51;0.07
S01124;RHYOLITE;80.15;0.19;9.58;3.12;1.7;0.42;0.08;0.58;4.14;0.03
S01125;RHYOLITE;78;0.23;11.07;2.17;1.57;0.41;0.05;0.64;5.8;0.05
S01126;RHYOLITE;76.62;0.22;10.77;4.06;1.6;0.46;0.14;0.72;5.39;0.03
S01127;RHYOLITE;74.1;0.37;11.67;3.8;2.41;0.85;0.06;0.66;6;0.08
S01128;ANDESITE;54.43;0.93;17.06;8.82;5.94;7.55;0.09;0.89;4.19;0.12
S01129;BASALT;49.72;0.57;11.82;9.34;9.71;11.13;0.2;1.23;2.18;0.24
S01130;BASALT;50.66;0.69;12.94;8.99;9.07;8.15;0.19;1.52;3.32;0.24
S01131;BASALT;50.74;0.5;19.51;7.3;4.16;4.31;0.14;1.68;5.03;0.24
S01132;ANDESITE;51.27;0.84;13.25;7.83;6.55;7.36;0.12;0.67;3.97;0.25
S01133;ANDESITE;51.74;0.8;12.91;7.31;7.23;6.43;0.14;0.8;3.08;0.26
S01134;ANDESITE;54.95;0.72;14.95;7.32;4.53;5.32;0.13;0.64;4.82;0.34
S01135;BASALT;53.86;0.5;12.96;5.52;7.19;6.42;0.13;0.5;4.4;0.46
S01136;KOMATIITE;47.84;0.58;8.29;11.54;10.5;18.12;0.23;0.21;0.92;0.03
S01137;KOMATIITE;48.04;0.26;5.14;8.23;9.15;26.36;0.21;0.1;0.02;0.03
S01138;KOMATIITE;52.14;0.76;12.89;10.39;9.71;9.77;0.19;;2.48;
S01139;KOMATIITE;44.8;0.41;6;;6.7;28.8;0.19;0.24;0.26;0.02
S01140;KOMATIITE;44.9;0.38;5.9;;8.1;27.8;0.19;0.08;0.39;0.02
S01141;KOMATIITE;41.8;0.51;6.5;;11.8;23.7;0.18;0.15;0.34;0.04
S01142;KOMATIITE;40.2;0.64;8;;10.9;23.7;0.21;0.06;0.43;0.03
S01143;KOMATIITE;41.6;0.6;8;;10.1;23.6;0.21;0.1;0.47;0.03
S01144;KOMATIITE;43.6;0.53;6.9;;10.1;23.8;0.2;0.19;0.38;0.02
S01145;KOMATIITE;44.7;0.43;6.4;;8.8;25.8;0.18;0.26;0.32;0.02
S01146;KOMATIITE;46.8;0.39;5.1;;8.1;26.7;0.16;0.29;0.21;0.02
S01147;KOMATIITE;45.6;0.39;5.3;;6.1;29.7;0.18;0.14;0.32;0.02
S01148;KOMATIITE;44.2;0.34;5;;4;33.6;0.18;0.09;0.08;0.03
S01149;KOMATIITE;44.9;0.38;5.5;;6.2;30;0.16;0.13;0.11;0.02
S01150;KOMATIITE;44.3;0.34;4.5;;4.8;33.5;0.18;0.08;0.33;0.02
S01151;KOMATIITE;44.2;0.36;4.6;;4.9;32.9;0.19;0.08;0.24;0.02
S01152;KOMATIITE;43.2;0.35;5;;3.5;34.5;0.19;0.08;0.25;0.02
S01153;KOMATIITE;44.8;0.39;5.2;;5.5;31.2;0.19;0.16;0.28;0.02
S01154;THOLEIITE;51.57;1.51;13.35;15.04;6.23;5.62;0.24;0.1;3.99;0.09
S01155;THOLEIITE;48.47;0.83;16.51;10.85;9.4;7.61;0.2;0.02;2.23;0.06
S01156;THOLEIITE;51.83;1.05;15.02;11.1;9.46;6.83;0.23;0.16;1.81;0.06
S01157;ANDESITE;60.28;0.58;14.21;4.9;5.16;4.95;0.09;0.47;4.85;0.14
S01158;ANDESITE;49.79;0.4;9.39;8.81;10.34;15.43;0.18;0.54;1.49;0.09
S01159;ANDESITE;54.02;0.4;13.69;6.94;7.2;9.42;0.13;0.48;3.78;0.21
S01160;KOMATIITE;45.2;0.35;6.5;9.9;6.3;29.8;0.17;0.1;0.23;0.03
S01161;KOMATIITE;44.5;0.21;4.3;9;3.5;37.1;0.15;;;0.02
S01162;KOMATIITE;45.2;0.25;3.2;8.46;3.2;38.1;0.17;;;0.02
S01163;BASALT;47.13;0.83;9.26;11.42;9.34;15.71;0.19;0.02;1.12;0.05
S01164;BASALT;48.22;0.86;9.3;11.41;9.13;14.61;0.17;0.05;1.84;0.06
S01165;BASALT;45.56;0.7;7.86;11.62;9.73;18.12;0.18;0.01;0.36;0.05
S01166;BASALT;45.49;0.83;7.87;12.57;8.38;17.92;0.22;0.03;0.56;0.05
